stationID,Date_Time,Date,time,PM25,PM10,O3,CO,NO2,SO2,AQI-Level,AQI-Score
o64,15/4/2023 20:00,15/4/2023,20:00,109,140,-1,-1,-1,-1,5,219
o65,15/4/2023 20:00,15/4/2023,20:00,102,137,-1,-1,-1,-1,5,212
o10,15/4/2023 20:00,15/4/2023,20:00,59,-1,-1,-1,-1,-1,4,121
97t,15/4/2023 20:00,15/4/2023,20:00,74,104,69,0.51,16,1,4,159
72t,15/4/2023 20:00,15/4/2023,20:00,71,94,-1,-1,-1,1,4,152
69t,15/4/2023 20:00,15/4/2023,20:00,78,-1,75,-1,22,-1,4,170
58t,15/4/2023 20:00,15/4/2023,20:00,152,163,-1,-1,-1,-1,5,262
o29,15/4/2023 20:00,15/4/2023,20:00,81,-1,-1,-1,-1,-1,4,177
reo1,15/4/2023 20:00,15/4/2023,20:00,251,-1,-1,-1,-1,-1,5,361
02t,15/4/2023 20:00,15/4/2023,20:00,60,84,-1,-1,2,-1,4,124
12t,15/4/2023 20:00,15/4/2023,20:00,56,-1,-1,-1,-1,-1,4,114
bkp112t,15/4/2023 20:00,15/4/2023,20:00,55,-1,-1,-1,-1,-1,4,111
bkp114t,15/4/2023 20:00,15/4/2023,20:00,47,-1,-1,-1,-1,-1,3,88
bkp115t,15/4/2023 20:00,15/4/2023,20:00,52,-1,-1,-1,-1,-1,4,104
bkp116t,15/4/2023 20:00,15/4/2023,20:00,51,-1,-1,-1,-1,-1,4,101
bkp117t,15/4/2023 20:00,15/4/2023,20:00,50,-1,-1,-1,-1,-1,3,100
bkp118t,15/4/2023 20:00,15/4/2023,20:00,54,-1,-1,-1,-1,-1,4,109
bkp119t,15/4/2023 20:00,15/4/2023,20:00,53,-1,-1,-1,-1,-1,4,106
bkp120t,15/4/2023 20:00,15/4/2023,20:00,51,-1,-1,-1,-1,-1,4,101
bkp121t,15/4/2023 20:00,15/4/2023,20:00,53,-1,-1,-1,-1,-1,4,106
bkp122t,15/4/2023 20:00,15/4/2023,20:00,52,-1,-1,-1,-1,-1,4,104
bkp123t,15/4/2023 20:00,15/4/2023,20:00,53,-1,-1,-1,-1,-1,4,106
bkp124t,15/4/2023 20:00,15/4/2023,20:00,47,-1,-1,-1,-1,-1,3,88
bkp125t,15/4/2023 20:00,15/4/2023,20:00,55,-1,-1,-1,-1,-1,4,111
bkp126t,15/4/2023 20:00,15/4/2023,20:00,50,-1,-1,-1,-1,-1,3,100
bkp127t,15/4/2023 20:00,15/4/2023,20:00,60,-1,-1,-1,-1,-1,4,124
bkp128t,15/4/2023 20:00,15/4/2023,20:00,50,-1,-1,-1,-1,-1,3,100
bkp129t,15/4/2023 20:00,15/4/2023,20:00,56,-1,-1,-1,-1,-1,4,114
bkp130t,15/4/2023 20:00,15/4/2023,20:00,51,-1,-1,-1,-1,-1,4,101
bkp131t,15/4/2023 20:00,15/4/2023,20:00,47,-1,-1,-1,-1,-1,3,88
bkp61t,15/4/2023 20:00,15/4/2023,20:00,50,-1,-1,-1,-1,-1,3,100
bkp76t,15/4/2023 19:00,15/4/2023,19:00,47,-1,-1,-1,-1,-1,3,88
60t,15/4/2023 20:00,15/4/2023,20:00,50,99,34,-1,-1,-1,3,100
20t,15/4/2023 20:00,15/4/2023,20:00,48,80,33,0.5,12,4,3,92
78t,15/4/2023 20:00,15/4/2023,20:00,28,50,-1,-1,-1,-1,2,30
37t,15/4/2023 20:00,15/4/2023,20:00,117,145,89,-1,-1,4,5,227
14t,15/4/2023 20:00,15/4/2023,20:00,55,-1,-1,2.07,35,-1,4,111
o21,15/4/2023 20:00,15/4/2023,20:00,84,-1,-1,-1,-1,-1,4,185
42t,15/4/2023 20:00,15/4/2023,20:00,43,-1,-1,-1,-1,-1,3,71
o27,15/4/2023 20:00,15/4/2023,20:00,66,-1,-1,-1,-1,-1,4,139
02t,15/4/2023 21:00,15/4/2023,21:00,61,85,-1,-1,1,-1,4,126
03t,15/4/2023 21:00,15/4/2023,21:00,67,-1,-1,-1,-1,-1,4,142
05t,15/4/2023 21:00,15/4/2023,21:00,57,-1,-1,-1,-1,-1,4,116
10t,15/4/2023 21:00,15/4/2023,21:00,49,-1,-1,-1,-1,-1,3,96
11t,15/4/2023 21:00,15/4/2023,21:00,55,-1,-1,-1,-1,-1,4,111
12t,15/4/2023 21:00,15/4/2023,21:00,56,-1,-1,-1,-1,-1,4,114
50t,15/4/2023 21:00,15/4/2023,21:00,57,-1,-1,-1,-1,-1,4,116
52t,15/4/2023 21:00,15/4/2023,21:00,57,69,-1,-1,-1,-1,4,116
53t,15/4/2023 20:00,15/4/2023,20:00,51,-1,-1,-1,-1,-1,4,101
54t,15/4/2023 21:00,15/4/2023,21:00,68,102,-1,0.88,17,-1,4,144
59t,15/4/2023 21:00,15/4/2023,21:00,48,77,48,-1,-1,-1,3,92
61t,15/4/2023 21:00,15/4/2023,21:00,45,-1,-1,-1,-1,-1,3,80
bkp100t,15/4/2023 21:00,15/4/2023,21:00,75,-1,-1,-1,-1,-1,4,162
bkp101t,15/4/2023 21:00,15/4/2023,21:00,59,-1,-1,-1,-1,-1,4,121
bkp102t,15/4/2023 21:00,15/4/2023,21:00,57,-1,-1,-1,-1,-1,4,116
bkp103t,15/4/2023 21:00,15/4/2023,21:00,64,-1,-1,-1,-1,-1,4,134
bkp104t,15/4/2023 21:00,15/4/2023,21:00,52,-1,-1,-1,-1,-1,4,104
bkp105t,15/4/2023 21:00,15/4/2023,21:00,59,-1,-1,-1,-1,-1,4,121
bkp56t,15/4/2023 21:00,15/4/2023,21:00,52,-1,-1,-1,-1,-1,4,104
bkp57t,15/4/2023 21:00,15/4/2023,21:00,46,-1,-1,-1,-1,-1,3,84
bkp58t,15/4/2023 21:00,15/4/2023,21:00,51,-1,-1,-1,-1,-1,4,101
bkp59t,15/4/2023 21:00,15/4/2023,21:00,51,-1,-1,-1,-1,-1,4,101
bkp60t,15/4/2023 21:00,15/4/2023,21:00,53,-1,-1,-1,-1,-1,4,106
bkp62t,15/4/2023 21:00,15/4/2023,21:00,57,-1,-1,-1,-1,-1,4,116
bkp63t,15/4/2023 21:00,15/4/2023,21:00,54,-1,-1,-1,-1,-1,4,109
bkp64t,15/4/2023 21:00,15/4/2023,21:00,60,-1,-1,-1,-1,-1,4,124
bkp65t,15/4/2023 21:00,15/4/2023,21:00,68,-1,-1,-1,-1,-1,4,144
bkp66t,15/4/2023 21:00,15/4/2023,21:00,56,-1,-1,-1,-1,-1,4,114
bkp67t,15/4/2023 21:00,15/4/2023,21:00,86,-1,-1,-1,-1,-1,4,190
bkp69t,15/4/2023 21:00,15/4/2023,21:00,60,-1,-1,-1,-1,-1,4,124
bkp70t,15/4/2023 21:00,15/4/2023,21:00,53,-1,-1,-1,-1,-1,4,106
bkp71t,15/4/2023 21:00,15/4/2023,21:00,51,-1,-1,-1,-1,-1,4,101
bkp72t,15/4/2023 21:00,15/4/2023,21:00,61,-1,-1,-1,-1,-1,4,126
bkp73t,15/4/2023 21:00,15/4/2023,21:00,65,-1,-1,-1,-1,-1,4,137
bkp74t,15/4/2023 21:00,15/4/2023,21:00,53,-1,-1,-1,-1,-1,4,106
bkp75t,15/4/2023 21:00,15/4/2023,21:00,53,-1,-1,-1,-1,-1,4,106
bkp77t,15/4/2023 21:00,15/4/2023,21:00,55,-1,-1,-1,-1,-1,4,111
bkp78t,15/4/2023 21:00,15/4/2023,21:00,57,-1,-1,-1,-1,-1,4,116
bkp79t,15/4/2023 21:00,15/4/2023,21:00,56,-1,-1,-1,-1,-1,4,114
